PID,Product_ID,Unique_Customers,Total_Purchased,Total_Activated,Total_Revenue,Avg_Contract_Value,Avg_Satisfaction,High_Churn_Risk_Count
PID-3BA90FB18906,P00001,36,5044,4252,4706052,130723.67,6.53,13
PID-C0C24FF7B8C0,P00002,41,6492,5428,4278228,104347.02,5.41,15
PID-C3C6FD8A776F,P00003,5,762,609,160782,32156.4,5.6,3
PID-998586300977,P00004,8,1467,1282,859662,107457.75,6.38,3
PID-09DD68A49E06,P00005,16,2736,2269,2331072,145692.0,5.56,5
PID-AE4A6A53445C,P00006,5,757,657,41635,8327.0,5.8,1
PID-95405E123140,P00007,5,674,613,186024,37204.8,4.4,2
PID-653BD155799B,P00008,6,977,804,844128,140688.0,6.5,1
PID-2783F3A4C71F,P00009,4,755,648,103435,25858.75,6.25,4
PID-3CCA4D58A44C,P00010,7,672,550,168000,24000.0,5.86,2
PID-754543699A96,P00011,6,1160,922,912920,152153.33,5.17,1
PID-E7A656B4575B,P00012,13,2163,1799,71379,5490.69,5.23,2
PID-CD144099736C,P00013,6,1019,815,621590,103598.33,6.17,1
PID-D1E9355B722D,P00014,3,390,345,254670,84890.0,5.67,0
PID-39620D4EE2A8,P00015,3,235,196,51935,17311.67,7.67,2
PID-4586848CD4EC,P00016,10,1181,978,1002669,100266.9,5.7,4
PID-DC5E18AD5E70,P00017,13,2243,1894,437385,33645.0,5.23,6
PID-326098DBF099,P00018,13,1846,1507,1443572,111044.0,5.92,4
PID-31967ABD1BD1,P00019,15,2467,1989,2429995,161999.67,5.4,5
PID-CE0EABC8EF7D,P00020,13,1586,1404,715286,55022.0,6.08,7
PID-AF0B5699E4D1,P00021,18,3174,2703,450708,25039.33,5.89,8
PID-BEA3A52077A4,P00022,31,4448,3748,3936480,126983.23,5.32,8
PID-616B9B0463A4,P00023,33,5073,4358,4535262,137432.18,5.36,14
PID-67D8D012E5C3,P00024,12,2349,1988,2172825,181068.75,5.5,3
PID-EC42E6CB055C,P00025,11,1168,944,418144,38013.09,7.0,3
PID-67138F5CD40D,P00026,26,4248,3515,1830888,70418.77,5.65,8
PID-92C21D36C239,P00027,16,2509,2079,785317,49082.31,5.88,6
PID-8911FEE7D737,P00028,18,2558,2086,1823854,101325.22,5.22,4
PID-29B30712F9B8,P00029,29,4147,3573,3504215,120835.0,5.41,7
PID-F60DB20EF151,P00030,27,4672,3920,130816,4845.04,5.44,10
PID-29F0AA78BE3F,P00031,23,3845,3201,2629980,114346.96,5.09,10
PID-448AB0AD2C6E,P00032,24,3610,3017,2389820,99575.83,5.04,7
PID-06A9FF6E93E2,P00033,17,2464,2024,657888,38699.29,5.0,6
PID-A2D91FBCE2BB,P00034,24,3444,2884,1250172,52090.5,5.79,10
PID-8863E5F70855,P00035,8,1024,853,893952,111744.0,6.25,2
PID-9F467CAAF435,P00036,8,1197,1004,203490,25436.25,5.25,2
PID-E07B0EEAF343,P00037,5,701,583,600757,120151.4,7.0,2
PID-0908B5644AEB,P00038,10,1654,1444,274564,27456.4,7.2,3
PID-51B3EB931DB8,P00039,12,1734,1427,52020,4335.0,6.0,4
PID-34E125CE4F55,P00040,4,501,421,414828,103707.0,3.0,0
PID-4C0EA97B984E,P00041,8,1191,1017,60741,7592.62,6.0,0
PID-932E619C3DE5,P00042,6,737,609,610973,101828.83,4.67,1
PID-D36E0310F16F,P00043,8,1086,866,980658,122582.25,6.62,4
PID-34ECC8561800,P00044,6,953,807,321161,53526.83,6.17,1
PID-71D17B4108AE,P00045,13,2782,2313,1054378,81106.0,4.85,5
PID-9E6DBB1A1CF2,P00046,15,2421,2045,2258793,150586.2,5.53,6
PID-F1580FBDC730,P00047,16,2299,1961,489687,30605.44,5.94,7
PID-F120C34D11FF,P00048,11,1797,1492,420498,38227.09,5.18,4
PID-EA4B7612E28D,P00049,26,4046,3394,84966,3267.92,5.96,13
PID-7EC6FF853A58,P00050,16,2495,2099,441615,27600.94,5.19,5
PID-CA3CA60CFA2F,P00051,8,974,810,891210,111401.25,4.62,6
PID-CEC3DBADD648,P00052,11,2328,1903,2248848,204440.73,5.55,4
