PID,Product_ID,Vendor_ID,Product_Name,Product_Category,Launch_Date,License_Type,Base_Price,Currency,Product_Features,Version,Maturity,Support_Level,Documentation_Quality,API_Available,Integration_Complexity
PID-9347E01E1FFF,P00001,V0001,HR None Basic,HR,2024-10-15,Per Hour,933,USD,6,3.7.8,Beta,Basic,Good,True,Medium
PID-97CCB5C4E7AE,P00002,V0001,HR Official Pro,HR,2022-09-01,Per Hour,659,USD,14,2.8.1,Legacy,Basic,Excellent,True,High
PID-94185B745F01,P00003,V0002,Productivity Say Premium,Productivity,2022-03-31,Per User,211,USD,9,2.2.5,Stable,Premium,Good,False,Low
PID-25FF1111DA5B,P00004,V0002,Database Pull Enterprise,Database,2022-09-17,Per Hour,586,USD,9,1.4.8,Beta,Basic,Good,True,Low
PID-3331A9C11036,P00005,V0002,Finance Dark Pro,Finance,2024-09-29,Per Transaction,852,USD,10,3.1.7,Beta,Basic,Poor,True,Medium
PID-AECDC8972A91,P00006,V0002,Marketing Perform Pro,Marketing,2022-11-18,Per User,55,USD,13,1.0.5,Legacy,Enterprise,Good,False,Medium
PID-6F846CFB5CAB,P00007,V0002,Productivity Country Enterprise,Productivity,2021-02-09,Per Hour,276,USD,6,5.1.5,Beta,Enterprise,Excellent,True,Low
PID-0EEF3EA40D76,P00008,V0002,HR Ahead Basic,HR,2022-05-08,Per Hour,864,USD,7,4.2.7,Legacy,Premium,Excellent,False,High
PID-EDB78ECFAB9F,P00009,V0002,Security Boy Premium,Security,2022-09-18,Unlimited,137,USD,13,1.3.2,Stable,Basic,Excellent,True,Low
PID-C94305A8AA60,P00010,V0002,Operations Individual Basic,Operations,2021-04-02,Per User,250,USD,5,1.2.5,Stable,Premium,Poor,False,Low
PID-4D60D4174496,P00011,V0002,Finance Final Enterprise,Finance,2020-02-14,Unlimited,787,USD,5,1.9.9,Stable,Basic,Excellent,True,Low
PID-53ABCD2DFCCB,P00012,V0002,Finance Decade Basic,Finance,2022-12-19,Unlimited,33,USD,10,1.6.6,Legacy,Enterprise,Excellent,False,Low
PID-667AC9D1285D,P00013,V0002,Development Mention Premium,Development,2023-10-13,Per Device,610,USD,9,2.0.3,Stable,Enterprise,Excellent,False,Medium
PID-243AC2F53A44,P00014,V0002,Operations Like Basic,Operations,2020-05-06,Per User,653,USD,13,4.4.4,Legacy,Enterprise,Poor,False,Medium
PID-B0CE2DAD4F7A,P00015,V0002,Marketing Head Basic,Marketing,2022-05-29,Per Transaction,221,USD,13,2.7.6,Legacy,Premium,Excellent,False,Low
PID-98262E1ADD77,P00016,V0002,Operations Blood Premium,Operations,2022-02-05,Per GB,849,USD,12,3.6.4,Legacy,Premium,Good,True,Medium
PID-64D433125789,P00017,V0003,HR Event Basic,HR,2021-02-24,Per GB,195,USD,8,3.1.4,Legacy,Basic,Excellent,False,High
PID-11CECAF0CABF,P00018,V0003,Marketing Most Enterprise,Marketing,2022-07-20,Per Device,782,USD,5,3.7.8,Beta,Premium,Poor,False,Low
PID-16F87F581A6C,P00019,V0003,Finance Keep Premium,Finance,2024-06-22,Per User,985,USD,5,2.2.2,Beta,Premium,Good,False,High
PID-0D9D7ABB75A0,P00020,V0003,Security Case Basic,Security,2023-12-25,Per User,451,USD,10,4.7.9,Stable,Premium,Poor,True,Medium
PID-F7EE10B98B92,P00021,V0003,HR Plan Pro,HR,2023-02-26,Per GB,142,USD,14,3.5.4,Stable,Premium,Good,False,High
PID-D01A34E544AC,P00022,V0004,Analytics Institution Basic,Analytics,2023-01-12,Per Device,885,USD,9,5.4.0,Beta,Basic,Poor,False,Medium
PID-F6BD531DB60A,P00023,V0004,Database Born Premium,Database,2022-09-02,Per Device,894,USD,8,4.7.0,Stable,Premium,Good,True,High
PID-E5B60067236A,P00024,V0005,Analytics Evening Premium,Analytics,2022-11-06,Unlimited,925,USD,12,5.9.6,Beta,Basic,Good,True,High
PID-E837256AD288,P00025,V0005,Analytics Peace Enterprise,Analytics,2024-11-23,Unlimited,358,USD,13,2.3.5,Beta,Enterprise,Good,True,High
PID-8F52137E242B,P00026,V0005,Database Save Basic,Database,2024-06-14,Per Hour,431,USD,3,1.9.3,Beta,Premium,Excellent,True,Medium
PID-05730EBD0C1D,P00027,V0005,Finance Move Premium,Finance,2021-06-02,Per GB,313,USD,13,5.7.3,Stable,Basic,Good,True,Low
PID-D0A4D98D3BBA,P00028,V0005,Operations Open Premium,Operations,2024-04-01,Per GB,713,USD,9,3.2.6,Stable,Basic,Good,False,Medium
PID-0A3A026410F1,P00029,V0006,Marketing Each Basic,Marketing,2021-08-19,Per GB,845,USD,6,4.5.6,Stable,Enterprise,Good,True,Low
PID-B9F1897E3641,P00030,V0006,Database Save Basic,Database,2020-06-09,Per Device,28,USD,15,4.4.2,Stable,Basic,Good,False,High
PID-3235527D56F8,P00031,V0007,Security Maintain Pro,Security,2022-09-10,Unlimited,684,USD,10,3.5.3,Stable,Enterprise,Poor,False,High
PID-ED4B94C187F8,P00032,V0007,Security Less Premium,Security,2021-01-02,Per GB,662,USD,7,4.2.9,Beta,Enterprise,Excellent,False,Low
PID-C0F5D33B079F,P00033,V0007,Security Way Enterprise,Security,2020-12-29,Unlimited,267,USD,8,3.3.5,Beta,Enterprise,Excellent,False,Medium
PID-78F56E4C8C72,P00034,V0007,Security Full Enterprise,Security,2021-06-10,Per Device,363,USD,9,3.5.2,Stable,Basic,Poor,True,High
PID-4B378AC616FD,P00035,V0008,Marketing Unit Premium,Marketing,2021-01-25,Per Device,873,USD,3,1.4.3,Legacy,Enterprise,Good,False,High
PID-E8E82BA498F9,P00036,V0008,Marketing Project Enterprise,Marketing,2024-05-30,Per GB,170,USD,8,2.2.4,Legacy,Enterprise,Poor,False,Low
PID-0E0B875BBD6D,P00037,V0008,Database Include Pro,Database,2022-10-18,Per User,857,USD,7,4.4.4,Beta,Enterprise,Excellent,False,Low
PID-A0E47ACF6522,P00038,V0008,Development Fire Basic,Development,2021-08-28,Per Device,166,USD,5,3.0.8,Stable,Premium,Poor,False,Low
PID-C6FDF797AD95,P00039,V0008,HR Build Basic,HR,2021-04-13,Per Device,30,USD,4,5.0.0,Legacy,Premium,Excellent,False,Low
PID-B274FE7A94F6,P00040,V0008,Productivity Follow Enterprise,Productivity,2023-09-09,Unlimited,828,USD,6,2.4.0,Legacy,Basic,Poor,True,High
