PID,Renewal_ID,License_ID,Customer_ID,Product_ID,Renewal_Date,Previous_Contract_Value,New_Contract_Value,Renewal_Type,Renewal_Duration,Discount_Applied,Renewal_Status,Negotiation_Days,Decision_Maker_Change,Competitive_Threat,Upsell_Opportunity,Cross_sell_Products
PID-CD82A0CBB050,R000001,L000001,C00001,P00018,2020-07-19,100096,115110.4,Negotiated,730,8,Declined,7,False,False,False,0
PID-F671255F67C2,R000002,L000001,C00001,P00018,2020-10-17,100096,94090.24,Automatic,730,6,Completed,14,True,False,False,3
PID-81EBBE18C950,R000003,L000002,C00001,P00227,2026-03-16,51205,58885.75,Manual,365,1,Pending,4,True,False,False,2
PID-C9E7D40B203F,R000004,L000002,C00001,P00227,2028-03-15,51205,55301.4,Manual,730,21,Pending,15,True,False,True,2
PID-4E5A75A8F306,R000005,L000002,C00001,P00227,2030-03-15,51205,46084.5,Negotiated,365,5,Pending,16,True,False,False,1
PID-8B7EAFB3F0C0,R000006,L000003,C00002,P00156,2025-10-27,200072,232083.52,Negotiated,1095,21,Completed,7,False,True,False,0
PID-76220626423C,R000007,L000003,C00002,P00156,2026-10-27,200072,192069.12,Manual,365,7,Pending,1,False,False,True,2
PID-C747630C1206,R000008,L000004,C00002,P00158,2023-02-13,187850,157794.0,Automatic,730,21,Declined,14,False,False,True,3
PID-F472F8939BA1,R000009,L000005,C00002,P00157,2021-09-15,5922,6277.32,Automatic,365,12,Declined,30,True,False,False,2
PID-0AD8FBC6A238,R000010,L000005,C00002,P00157,2022-09-15,5922,4856.04,Automatic,1095,15,Declined,9,False,True,False,2
PID-8F0889D4BAAA,R000011,L000005,C00002,P00157,2023-09-15,5922,4796.82,Automatic,730,8,Completed,28,True,True,True,2
PID-010B3E0CE3C1,R000012,L000007,C00003,P00090,2022-08-20,212544,229547.52,Automatic,1095,0,Pending,10,False,False,True,2
PID-2D02EF22CD91,R000013,L000007,C00003,P00090,2023-08-20,212544,193415.04,Manual,365,25,Declined,11,False,False,False,0
PID-AFC16E96548F,R000014,L000008,C00003,P00200,2021-01-10,69120,79488.0,Manual,730,16,Pending,6,True,False,False,1
PID-C1CBA3B19D92,R000015,L000008,C00003,P00200,2022-01-10,69120,61516.8,Negotiated,365,11,Declined,18,False,True,True,2
PID-5F504698A803,R000016,L000009,C00003,P00199,2025-06-27,16748,14738.24,Automatic,365,16,Completed,0,True,True,True,0
PID-3D9ED3453AD6,R000017,L000011,C00003,P00080,2022-07-20,84372,96184.08,Manual,1095,8,Pending,17,False,True,True,2
PID-2950BE84E1D0,R000018,L000011,C00003,P00080,2023-07-20,84372,92809.2,Negotiated,730,17,Pending,3,True,True,True,3
PID-858570039D9A,R000019,L000012,C00003,P00081,2023-07-28,63217,73331.72,Automatic,730,24,Declined,14,True,True,True,3
PID-CB2FA57A7123,R000020,L000013,C00004,P00050,2020-07-10,22302,18510.66,Automatic,365,3,Pending,28,True,True,False,3
PID-BFAAEA2DD62E,R000021,L000013,C00004,P00050,2020-08-09,22302,26762.4,Negotiated,365,15,Completed,22,False,False,True,1
PID-1DA36DB62432,R000022,L000013,C00004,P00050,2020-09-08,22302,23640.12,Automatic,730,6,Declined,8,False,True,False,0
PID-90A38FB10C9A,R000023,L000014,C00004,P00268,2022-03-18,75210,60168.0,Manual,730,16,Declined,3,True,False,False,0
PID-611E50FDFEC9,R000024,L000014,C00004,P00268,2023-03-18,75210,62424.3,Automatic,730,4,Completed,21,False,True,False,3
