customer_id,name,location,contact_email,phone,industry,company_size,created_date,status
CUST-0001,"Rodriguez, Figueroa and Sanchez","Lake Curtis, Saint Vincent and the Grenadines",garzaanthony@robinson.org,2834863794,Education,Enterprise (5000+),2024-01-12,Active
CUST-0002,Moore-Bernard,"Curtisfurt, Bhutan",melanie94@blair.com,(518)349-5931x0341,Manufacturing,Large (501-5000),2024-07-06,Suspended
CUST-0003,"Flowers, Martin and Kelly","Jacquelineland, New Caledonia",amandasanchez@gray-mayo.net,550.730.5641,Healthcare,Enterprise (5000+),2024-04-07,Active
CUST-0004,"Ellis, Baker and Wright","Juliechester, Ukraine",icox@snyder.com,+1-326-691-6697x8480,Education,Large (501-5000),2023-01-22,Active
CUST-0005,Graham-Chavez,"Teresaburgh, Madagascar",harrellkenneth@romero.com,+1-680-595-7015,Technology,Medium (51-500),2024-12-30,Active
CUST-0006,Miller Group,"Port Amandaberg, Brunei Darussalam",karroyo@rose-obrien.com,+1-534-565-7871,Technology,Large (501-5000),2022-09-03,Active
CUST-0007,"Spencer, Chapman and Smith","East Carloston, Tokelau",chad34@washington.org,001-773-876-3116,Manufacturing,Enterprise (5000+),2022-10-25,Active
CUST-0008,"Valdez, Lucas and Brown","Laurenville, Egypt",jameswest@white-ford.com,581.808.0132x677,Technology,Medium (51-500),2024-03-12,Inactive
CUST-0009,Galloway LLC,"Mitchellside, Panama",smoore@novak.net,2503097882,Healthcare,Small (1-50),2025-02-11,Active
CUST-0010,Leonard and Sons,"Wilsonshire, Egypt",harveyrobert@cunningham.com,946.324.7510,Technology,Medium (51-500),2024-09-25,Active
CUST-0011,Anderson-Bailey,"East Mikeburgh, Kazakhstan",cheryl80@montoya.com,911-682-4493x534,Technology,Small (1-50),2025-04-13,Active
CUST-0012,Calderon-Williams,"Kellieview, Central African Republic",barnold@smith.com,+1-605-798-2620,Technology,Large (501-5000),2023-06-24,Suspended
CUST-0013,"Wright, Garcia and Deleon","Dicksonberg, Uzbekistan",michellecherry@keith.com,001-756-634-2160x7337,Healthcare,Medium (51-500),2022-09-07,Active
CUST-0014,"Lee, Murphy and Lin","Michaelhaven, Iran",sheila14@carpenter.com,896-555-6981,Finance,Small (1-50),2024-06-09,Active
CUST-0015,Meyer PLC,"West Ryan, Yemen",cindy14@parker.com,+1-823-266-2994,Finance,Large (501-5000),2023-06-24,Active
CUST-0016,Floyd-Lawson,"Stevenmouth, Peru",williamleon@jackson.org,813-543-3200x37917,Education,Enterprise (5000+),2024-09-07,Active
CUST-0017,Sanchez-Douglas,"Port Michelleville, Slovakia (Slovak Republic)",zrobinson@holmes.com,927.488.9579x868,Education,Enterprise (5000+),2024-07-01,Active
CUST-0018,Walton-Larsen,"Katiehaven, Libyan Arab Jamahiriya",joshuajones@young-rogers.net,822-736-2316,Retail,Enterprise (5000+),2024-05-08,Active
CUST-0019,Clark Group,"Steinshire, Yemen",gateskathy@woods-bender.com,001-766-888-9373x46706,Education,Medium (51-500),2024-07-28,Active
CUST-0020,Hooper PLC,"South Brittanytown, Belize",dtaylor@williams.com,975.256.4641,Education,Small (1-50),2024-01-27,Active
CUST-0021,Santos Ltd,"Port Anthonybury, Cook Islands",howelljohn@caldwell-elliott.com,645.829.9124x190,Manufacturing,Medium (51-500),2022-11-28,Active
CUST-0022,"Vaughn, Burton and Garcia","Melissaville, South Africa",reedross@jones-holland.com,(971)865-7262x84987,Education,Large (501-5000),2023-12-15,Active
CUST-0023,Rivas Inc,"Nicolebury, Sao Tome and Principe",qhudson@rogers-snyder.com,(273)554-5494,Technology,Medium (51-500),2024-04-24,Active
CUST-0024,Peters-Allen,"Brewerfort, Kiribati",davisjeffrey@sanchez.net,356.485.5744x43135,Healthcare,Medium (51-500),2024-08-23,Active
CUST-0025,Hardy-Bray,"Tinaborough, French Polynesia",michaelturner@ferguson.net,627-910-9477x7520,Technology,Small (1-50),2024-04-15,Active
CUST-0026,Jones-Soto,"East Edwardshire, Yemen",christopher31@duran.com,001-586-577-4964x99091,Finance,Small (1-50),2023-04-02,Active
CUST-0027,Thompson Inc,"North Ricky, Portugal",ocarter@mann-warner.info,434-693-6183,Healthcare,Small (1-50),2022-11-02,Active
CUST-0028,Sparks PLC,"Scottmouth, Portugal",holly48@snyder.biz,001-459-940-1399x0490,Retail,Enterprise (5000+),2023-10-08,Active
CUST-0029,Shea Group,"Costafort, Guernsey",qcook@hodge.biz,001-874-268-0715x451,Education,Enterprise (5000+),2024-05-04,Active
CUST-0030,Lopez LLC,"Garrettton, Costa Rica",andrea47@washington.com,001-424-980-8613x171,Education,Large (501-5000),2024-09-30,Active
CUST-0031,"Hill, Davenport and Baird","South Andrea, Hungary",sandraromero@shields.biz,784-804-4997x27875,Manufacturing,Large (501-5000),2023-05-22,Active
CUST-0032,"Allen, Reyes and Chase","Williamsfort, Romania",qhughes@pollard.net,001-851-471-8702,Technology,Enterprise (5000+),2023-09-17,Active
CUST-0033,Hanson-Sanders,"Port Markside, Hong Kong",courtney78@williamson.com,216.711.7240,Technology,Large (501-5000),2024-02-09,Active
CUST-0034,Jordan-Sanchez,"Knightburgh, Chile",christianpitts@vega.com,647.840.7482x175,Education,Large (501-5000),2024-07-11,Inactive
CUST-0035,Gonzalez-Cruz,"Rodriguezfurt, Montserrat",bailey40@foster.com,+1-274-639-5339x421,Manufacturing,Small (1-50),2025-01-18,Suspended
CUST-0036,Oconnor-Davis,"Markchester, China",davidryan@schmidt-mcintyre.com,374-851-7123x685,Technology,Large (501-5000),2024-11-12,Active
CUST-0037,Gibson Ltd,"Brendastad, Botswana",thomasharvey@murphy.info,001-446-812-0047x113,Manufacturing,Large (501-5000),2025-06-08,Active
CUST-0038,"Horton, Fernandez and Matthews","South Diana, Syrian Arab Republic",rgilbert@vaughn.info,935.315.8506x431,Education,Medium (51-500),2025-04-24,Active
CUST-0039,"Harper, Smith and Buchanan","East Kristin, Costa Rica",gallegosangela@robinson.com,+1-704-522-8421x020,Retail,Large (501-5000),2022-08-26,Active
CUST-0040,Baker and Sons,"Foxland, Lebanon",gstrickland@rodriguez.com,001-384-770-0766x1771,Retail,Medium (51-500),2022-11-12,Active
CUST-0041,Hill Ltd,"Oscarhaven, French Polynesia",bwagner@mcguire.net,001-736-673-6576x6156,Finance,Medium (51-500),2025-07-03,Active
CUST-0042,Jones-Decker,"South Colinstad, Sudan",angelawillis@hoffman.biz,001-304-794-5198x3273,Retail,Large (501-5000),2023-01-27,Active
CUST-0043,Andrews-Aguirre,"New Sarahview, Antarctica (the territory South of 60 deg S)",joshuafarmer@bell-white.com,001-861-920-1836,Finance,Medium (51-500),2024-02-27,Active
CUST-0044,Griffith-Frank,"North Ericton, Peru",nelsonebony@lawson-perry.com,001-281-256-1497x84036,Healthcare,Large (501-5000),2023-06-26,Inactive
CUST-0045,Duran LLC,"Davidfort, San Marino",ythompson@padilla.com,860-860-7159,Education,Enterprise (5000+),2023-10-25,Active
CUST-0046,Sullivan LLC,"Port Stacey, Kuwait",christopher13@chapman-warren.biz,453-552-1818x8355,Technology,Medium (51-500),2023-09-03,Active
CUST-0047,Thompson and Sons,"East Stephaniefort, Kyrgyz Republic",kmaldonado@reid.com,(771)377-4490,Finance,Enterprise (5000+),2024-07-04,Active
CUST-0048,Brown LLC,"Lake Michelleland, Nicaragua",jford@huang.com,997-982-0715x18203,Retail,Medium (51-500),2024-02-18,Active
CUST-0049,Hardin-Hughes,"Erikaton, Somalia",cameron18@hughes.org,(351)692-5462,Retail,Enterprise (5000+),2025-04-27,Active
CUST-0050,Li-Santiago,"Lake Ellenhaven, Guyana",coxhenry@peterson.com,222.714.1888,Retail,Medium (51-500),2025-02-14,Active
CUST-0051,Moore-White,"Lake Samuel, Isle of Man",erica37@mitchell.net,847.835.9774,Healthcare,Medium (51-500),2025-02-26,Suspended
CUST-0052,Salas Inc,"Sawyerside, Vietnam",dawsonzachary@mitchell.com,782.561.3750x606,Manufacturing,Small (1-50),2024-03-06,Active
CUST-0053,Johnson Inc,"Laceyberg, Argentina",samantha72@harrison.com,232-589-8614x341,Manufacturing,Enterprise (5000+),2022-11-07,Inactive
CUST-0054,Copeland Group,"Lake Zacharybury, Saint Barthelemy",kellysmith@allen-butler.com,651.288.8880x67065,Finance,Small (1-50),2024-01-19,Inactive
CUST-0055,Quinn Ltd,"Port Bonniemouth, Burkina Faso",bellmatthew@thompson.info,+1-822-917-0430x3054,Finance,Small (1-50),2025-05-02,Active
CUST-0056,Mitchell Inc,"Joshuastad, Jordan",ypaul@beltran-crawford.info,(384)316-1692x845,Finance,Large (501-5000),2023-11-21,Inactive
CUST-0057,Morrison-Simmons,"Bellton, Saint Lucia",christina64@whitney.biz,(782)802-9702x135,Retail,Small (1-50),2025-02-26,Active
CUST-0058,Shelton LLC,"Scottland, Montserrat",alyssasanders@ramirez.com,386.481.4473x9473,Technology,Enterprise (5000+),2023-04-27,Active
