renewal_id,entitlement_id,entitlement_start_date,entitlement_end_date,license_model,renewal_date,renewal_price,discount_applied,status
REN-00001,ENT-00002,2027-03-29,2029-03-28,Perpetual,2027-03-26,35222.49,2.91,Active
REN-00002,ENT-00005,2027-07-21,2029-07-20,Perpetual,2027-07-17,13254.55,5.37,Active
REN-00003,ENT-00008,2026-09-14,2028-09-13,Perpetual,2026-09-13,14105.02,21.53,Active
REN-00004,ENT-00010,2024-10-04,2025-10-04,Subscription,2024-09-09,36709.37,14.72,Active
REN-00005,ENT-00021,2027-03-27,2028-03-26,Perpetual,2027-03-07,25671.35,15.78,Active
REN-00006,ENT-00022,2027-02-25,2028-02-25,Named User,2027-02-08,39605.7,16.13,Active
REN-00007,ENT-00023,2024-11-25,2026-11-25,Concurrent,2024-11-17,15390.58,16.95,Active
REN-00008,ENT-00028,2024-11-29,2026-11-29,Subscription,2024-11-14,27484.74,18.92,Active
REN-00009,ENT-00029,2024-02-26,2024-05-26,Perpetual,2024-02-15,48582.55,12.74,Active
REN-00010,ENT-00030,2025-03-15,2025-06-13,Concurrent,2025-03-12,26202.85,16.82,Active
REN-00011,ENT-00031,2024-04-23,2025-04-23,Subscription,2024-04-12,36933.84,13.46,Active
REN-00012,ENT-00033,2025-08-01,2025-10-30,Named User,2025-07-07,4904.73,7.68,Active
REN-00013,ENT-00034,2026-03-25,2028-03-24,Usage-based,2026-03-09,28515.24,7.5,Active
REN-00014,ENT-00037,2024-10-08,2024-11-07,Perpetual,2024-09-27,23016.41,19.16,Pending
REN-00015,ENT-00052,2026-11-08,2028-11-07,Concurrent,2026-10-23,37807.93,19.72,Pending
REN-00016,ENT-00060,2025-01-02,2026-01-02,Usage-based,2024-12-17,43376.87,20.86,Active
REN-00017,ENT-00066,2024-03-29,2025-03-29,Usage-based,2024-03-18,15584.27,20.73,Active
REN-00018,ENT-00068,2024-11-28,2025-11-28,Usage-based,2024-11-14,5939.6,19.07,Active
REN-00019,ENT-00069,2027-01-10,2028-01-10,Usage-based,2027-01-08,4508.47,8.84,Active
REN-00020,ENT-00075,2025-08-07,2027-08-07,Usage-based,2025-07-31,9391.15,17.92,Active
REN-00021,ENT-00076,2024-05-22,2025-05-22,Named User,2024-05-21,8148.1,19.77,Active
REN-00022,ENT-00077,2024-04-03,2026-04-03,Perpetual,2024-03-10,19865.57,5.37,Active
REN-00023,ENT-00082,2025-11-03,2026-11-03,Perpetual,2025-10-30,22630.89,4.01,Active
REN-00024,ENT-00091,2025-06-13,2026-06-13,Concurrent,2025-05-19,2241.95,17.2,Pending
REN-00025,ENT-00093,2025-12-16,2026-12-16,Named User,2025-11-26,42133.82,1.48,Active
REN-00026,ENT-00094,2027-06-18,2028-06-17,Subscription,2027-06-09,20786.96,10.95,Active
REN-00027,ENT-00098,2027-08-04,2028-08-03,Perpetual,2027-07-30,18200.53,1.85,Active
REN-00028,ENT-00109,2027-09-21,2029-09-20,Usage-based,2027-09-14,15026.59,10.96,Active
REN-00029,ENT-00113,2025-08-24,2027-08-24,Concurrent,2025-07-30,41141.19,13.92,Active
REN-00030,ENT-00125,2026-02-01,2028-02-01,Perpetual,2026-01-04,40284.07,17.79,Active
REN-00031,ENT-00127,2026-07-08,2027-07-08,Usage-based,2026-06-09,18847.96,18.68,Active
REN-00032,ENT-00131,2024-07-14,2025-07-14,Concurrent,2024-06-29,30520.62,9.06,Pending
REN-00033,ENT-00132,2025-03-18,2027-03-18,Subscription,2025-03-09,44131.98,18.69,Active
REN-00034,ENT-00133,2027-09-28,2029-09-27,Perpetual,2027-09-07,33491.18,9.91,Pending
REN-00035,ENT-00134,2025-01-13,2025-02-12,Concurrent,2024-12-17,40279.96,22.82,Active
REN-00036,ENT-00136,2027-07-28,2029-07-27,Usage-based,2027-07-09,33264.79,0.8,Active
REN-00037,ENT-00137,2024-11-04,2025-11-04,Concurrent,2024-10-09,4103.24,7.07,Active
REN-00038,ENT-00138,2027-07-26,2029-07-25,Named User,2027-07-02,6012.1,2.3,Active
REN-00039,ENT-00142,2026-05-30,2028-05-29,Usage-based,2026-05-12,42632.54,12.84,Pending
REN-00040,ENT-00152,2024-02-29,2025-02-28,Named User,2024-02-09,41821.51,4.77,Active
REN-00041,ENT-00153,2025-08-05,2027-08-05,Perpetual,2025-07-22,7503.63,11.64,Active
REN-00042,ENT-00159,2027-08-29,2028-08-28,Concurrent,2027-08-26,6216.71,14.38,Active
REN-00043,ENT-00164,2024-05-31,2026-05-31,Concurrent,2024-05-07,1521.48,10.81,Active
REN-00044,ENT-00167,2025-04-11,2027-04-11,Concurrent,2025-04-01,37975.02,20.71,Active
REN-00045,ENT-00169,2024-03-26,2024-06-24,Usage-based,2024-03-15,22074.27,6.47,Active
REN-00046,ENT-00173,2026-02-08,2028-02-08,Subscription,2026-01-14,20683.48,11.44,Cancelled
REN-00047,ENT-00177,2025-11-16,2026-11-16,Usage-based,2025-10-18,38218.46,21.68,Active
REN-00048,ENT-00178,2025-07-04,2025-08-03,Concurrent,2025-06-27,11315.34,2.52,Active
REN-00049,ENT-00179,2024-10-31,2024-11-30,Subscription,2024-10-06,23617.52,8.71,Active
REN-00050,ENT-00180,2024-02-09,2025-02-08,Subscription,2024-01-10,34558.57,5.22,Active
REN-00051,ENT-00181,2026-08-04,2027-08-04,Perpetual,2026-07-26,44103.66,23.0,Active
REN-00052,ENT-00184,2026-02-04,2027-02-04,Subscription,2026-01-31,9970.44,9.38,Pending
