bin_start,bin_end,count
407.0,9292.451612903225,6
9292.451612903225,18177.90322580645,7
18177.90322580645,27063.354838709674,7
27063.354838709674,35948.8064516129,12
35948.8064516129,44834.25806451613,22
44834.25806451613,53719.70967741935,33
53719.70967741935,62605.161290322576,43
62605.161290322576,71490.6129032258,59
71490.6129032258,80376.06451612903,72
80376.06451612903,89261.51612903226,68
89261.51612903226,98146.96774193548,54
98146.96774193548,107032.4193548387,34
107032.4193548387,115917.87096774192,22
115917.87096774192,124803.32258064515,16
124803.32258064515,133688.7741935484,12
133688.7741935484,142574.2258064516,12
142574.2258064516,151459.67741935482,5
151459.67741935482,160345.12903225806,4
160345.12903225806,169230.58064516127,3
169230.58064516127,178116.03225806452,5
178116.03225806452,187001.48387096773,1
187001.48387096773,195886.93548387097,1
195886.93548387097,204772.38709677418,0
204772.38709677418,213657.8387096774,0
213657.8387096774,222543.29032258064,0
222543.29032258064,231428.74193548385,0
231428.74193548385,240314.1935483871,0
240314.1935483871,249199.6451612903,0
249199.6451612903,258085.09677419355,0
258085.09677419355,266970.5483870968,1
266970.5483870968,275856.0,1
