bin_start,bin_end,count
407.0,146024.58333333334,72
146024.58333333334,291642.1666666667,84
291642.1666666667,437259.75,79
437259.75,582877.3333333334,67
582877.3333333334,728494.9166666667,51
728494.9166666667,874112.5,28
874112.5,1019730.0833333334,25
1019730.0833333334,1165347.6666666667,18
1165347.6666666667,1310965.25,9
1310965.25,1456582.8333333335,18
1456582.8333333335,1602200.4166666667,9
1602200.4166666667,1747818.0,13
1747818.0,1893435.5833333335,5
1893435.5833333335,2039053.1666666667,4
2039053.1666666667,2184670.75,4
2184670.75,2330288.3333333335,6
2330288.3333333335,2475905.916666667,1
2475905.916666667,2621523.5,3
2621523.5,2767141.0833333335,2
2767141.0833333335,2912758.666666667,0
2912758.666666667,3058376.25,1
3058376.25,3203993.8333333335,0
3203993.8333333335,3349611.416666667,0
3349611.416666667,3495229.0,1
