bin_start,bin_end,count
1.0,269.84,66
269.84,538.68,81
538.68,807.52,87
807.52,1076.36,65
1076.36,1345.1999999999998,51
1345.1999999999998,1614.04,29
1614.04,1882.8799999999999,20
1882.8799999999999,2151.72,21
2151.72,2420.56,12
2420.56,2689.3999999999996,17
2689.3999999999996,2958.24,13
2958.24,3227.08,7
3227.08,3495.9199999999996,4
3495.9199999999996,3764.7599999999998,7
3764.7599999999998,4033.5999999999995,6
4033.5999999999995,4302.44,7
4302.44,4571.28,3
4571.28,4840.12,1
4840.12,5108.959999999999,0
5108.959999999999,5377.799999999999,1
5377.799999999999,5646.639999999999,1
5646.639999999999,5915.48,0
5915.48,6184.32,0
6184.32,6453.16,0
6453.16,6722.0,1
