bin_start,bin_end,count
540206.0,11379727.391304348,248
11379727.391304348,22219248.782608695,48
22219248.782608695,33058770.173913043,33
33058770.173913043,43898291.56521739,34
43898291.56521739,54737812.956521735,22
54737812.956521735,65577334.347826086,1
65577334.347826086,76416855.73913044,3
76416855.73913044,87256377.13043478,4
87256377.13043478,98095898.52173913,3
98095898.52173913,108935419.91304347,1
108935419.91304347,119774941.30434783,4
119774941.30434783,130614462.69565217,2
130614462.69565217,141453984.08695653,0
141453984.08695653,152293505.47826087,0
152293505.47826087,163133026.86956522,1
163133026.86956522,173972548.26086956,3
173972548.26086956,184812069.6521739,5
184812069.6521739,195651591.04347825,4
195651591.04347825,206491112.4347826,4
206491112.4347826,217330633.82608694,6
217330633.82608694,228170155.2173913,3
228170155.2173913,239009676.60869566,3
239009676.60869566,249849198.0,0
249849198.0,260688719.39130434,1
260688719.39130434,271528240.7826087,5
271528240.7826087,282367762.17391306,4
282367762.17391306,293207283.5652174,5
293207283.5652174,304046804.95652175,1
304046804.95652175,314886326.34782606,4
314886326.34782606,325725847.73913044,1
325725847.73913044,336565369.13043475,7
336565369.13043475,347404890.5217391,0
347404890.5217391,358244411.9130435,2
358244411.9130435,369083933.3043478,0
369083933.3043478,379923454.6956522,3
379923454.6956522,390762976.0869565,1
390762976.0869565,401602497.4782609,2
401602497.4782609,412442018.8695652,1
412442018.8695652,423281540.26086956,5
423281540.26086956,434121061.6521739,3
434121061.6521739,444960583.04347825,3
444960583.04347825,455800104.4347826,2
455800104.4347826,466639625.82608694,3
466639625.82608694,477479147.2173913,6
477479147.2173913,488318668.6086956,4
488318668.6086956,499158190.0,5
