bin_start,bin_end,count
197.0,12227.741935483871,502
12227.741935483871,24258.483870967742,432
24258.483870967742,36289.22580645161,318
36289.22580645161,48319.967741935485,312
48319.967741935485,60350.709677419356,267
60350.709677419356,72381.45161290323,259
72381.45161290323,84412.19354838709,247
84412.19354838709,96442.93548387097,192
96442.93548387097,108473.67741935485,179
108473.67741935485,120504.41935483871,162
120504.41935483871,132535.16129032258,146
132535.16129032258,144565.90322580645,126
144565.90322580645,156596.64516129033,114
156596.64516129033,168627.38709677418,96
168627.38709677418,180658.12903225806,88
180658.12903225806,192688.87096774194,89
192688.87096774194,204719.61290322582,67
204719.61290322582,216750.3548387097,43
216750.3548387097,228781.09677419355,52
228781.09677419355,240811.83870967742,43
240811.83870967742,252842.5806451613,27
252842.5806451613,264873.32258064515,20
264873.32258064515,276904.06451612903,7
276904.06451612903,288934.8064516129,15
288934.8064516129,300965.5483870968,12
300965.5483870968,312996.29032258067,5
312996.29032258067,325027.03225806454,5
325027.03225806454,337057.77419354836,3
337057.77419354836,349088.51612903224,4
349088.51612903224,361119.2580645161,2
361119.2580645161,373150.0,2
