bin_start,bin_end,count
-1503.0,-1384.5,1
-1384.5,-1266.0,1
-1266.0,-1147.5,1
-1147.5,-1029.0,11
-1029.0,-910.5,21
-910.5,-792.0,30
-792.0,-673.5,52
-673.5,-555.0,84
-555.0,-436.5,102
-436.5,-318.0,148
-318.0,-199.5,168
-199.5,-81.0,204
-81.0,37.5,220
37.5,156.0,239
156.0,274.5,238
274.5,393.0,227
393.0,511.5,239
511.5,630.0,247
630.0,748.5,258
748.5,867.0,245
867.0,985.5,245
985.5,1104.0,187
1104.0,1222.5,169
1222.5,1341.0,140
1341.0,1459.5,142
1459.5,1578.0,87
1578.0,1696.5,61
1696.5,1815.0,56
