bin_start,bin_end,count
190.08,10425.58976744186,709
10425.58976744186,20661.09953488372,568
20661.09953488372,30896.60930232558,481
30896.60930232558,41132.11906976744,375
41132.11906976744,51367.6288372093,404
51367.6288372093,61603.13860465116,348
61603.13860465116,71838.64837209301,339
71838.64837209301,82074.15813953488,324
82074.15813953488,92309.66790697674,284
92309.66790697674,102545.17767441859,244
102545.17767441859,112780.68744186046,211
112780.68744186046,123016.19720930232,196
123016.19720930232,133251.70697674417,177
133251.70697674417,143487.216744186,195
143487.216744186,153722.72651162787,143
153722.72651162787,163958.23627906974,123
163958.23627906974,174193.7460465116,131
174193.7460465116,184429.25581395347,135
184429.25581395347,194664.7655813953,88
194664.7655813953,204900.27534883717,69
204900.27534883717,215135.78511627903,60
215135.78511627903,225371.2948837209,52
225371.2948837209,235606.80465116276,45
235606.80465116276,245842.31441860463,32
245842.31441860463,256077.82418604646,24
256077.82418604646,266313.3339534884,29
266313.3339534884,276548.8437209302,15
276548.8437209302,286784.35348837206,12
286784.35348837206,297019.86325581395,15
297019.86325581395,307255.3730232558,10
307255.3730232558,317490.8827906977,1
317490.8827906977,327726.3925581395,7
327726.3925581395,337961.90232558135,7
337961.90232558135,348197.41209302325,6
348197.41209302325,358432.9218604651,1
358432.9218604651,368668.431627907,1
368668.431627907,378903.9413953488,3
378903.9413953488,389139.45116279065,3
389139.45116279065,399374.96093023254,3
399374.96093023254,409610.4706976744,1
409610.4706976744,419845.98046511627,0
419845.98046511627,430081.4902325581,1
430081.4902325581,440317.0,1
