bin_start,bin_end,count
197.0,10556.805555555555,706
10556.805555555555,20916.61111111111,543
20916.61111111111,31276.416666666664,519
31276.416666666664,41636.22222222222,384
41636.22222222222,51996.027777777774,383
51996.027777777774,62355.83333333333,342
62355.83333333333,72715.63888888888,337
72715.63888888888,83075.44444444444,309
83075.44444444444,93435.25,329
93435.25,103795.05555555555,258
103795.05555555555,114154.8611111111,189
114154.8611111111,124514.66666666666,225
124514.66666666666,134874.47222222222,170
134874.47222222222,145234.27777777775,149
145234.27777777775,155594.0833333333,158
155594.0833333333,165953.88888888888,132
165953.88888888888,176313.69444444444,132
176313.69444444444,186673.5,139
186673.5,197033.30555555553,81
197033.30555555553,207393.1111111111,72
207393.1111111111,217752.91666666666,59
217752.91666666666,228112.7222222222,55
228112.7222222222,238472.52777777775,48
238472.52777777775,248832.3333333333,35
248832.3333333333,259192.13888888888,28
259192.13888888888,269551.94444444444,17
269551.94444444444,279911.75,10
279911.75,290271.5555555555,20
290271.5555555555,300631.36111111107,7
300631.36111111107,310991.1666666666,5
310991.1666666666,321350.9722222222,8
321350.9722222222,331710.77777777775,6
331710.77777777775,342070.5833333333,12
342070.5833333333,352430.3888888889,3
352430.3888888889,362790.19444444444,1
362790.19444444444,373150.0,2
