,Active_Users,API_Calls,Data_Processed_GB,Session_Duration_Hours,Feature_Usage_Score,Error_Rate,Support_Interactions,Downtime_Minutes,Bandwidth_Used_GB,Storage_Used_GB
Active_Users,1.0,-0.004195639015335373,0.0066748674183528586,-1.6776603971964997e-05,0.0028867220767600757,-0.004638383371142638,0.0024316174751215615,0.0012716612831169764,0.002831496370117569,0.001389878734662381
API_Calls,-0.004195639015335373,1.0,-0.00910464613454134,-0.00234025279886498,0.002605852232052123,-0.0038489506118058407,-0.002852208706463696,0.0011256949047942688,0.004113152312805972,-0.005729006057060313
Data_Processed_GB,0.0066748674183528586,-0.00910464613454134,1.0,-0.001429638352914223,0.00039458787979866926,0.0016684670177550764,0.002189999414442459,-0.0017437069003283555,0.008709642391986874,-0.004427633837832867
Session_Duration_Hours,-1.6776603971964997e-05,-0.00234025279886498,-0.001429638352914223,1.0,0.007119866071894575,0.003443194386597266,-0.005729509005859699,-0.0005736116673708317,0.0034476549356601788,-0.004459037300178181
Feature_Usage_Score,0.0028867220767600757,0.002605852232052123,0.00039458787979866926,0.007119866071894575,1.0,0.0031774790092153372,-0.0007883721040087883,-0.0051930770611665605,0.004275085682280304,-0.0024357848881094383
Error_Rate,-0.004638383371142638,-0.0038489506118058407,0.0016684670177550764,0.003443194386597266,0.0031774790092153372,1.0,-0.0057625072302659956,-0.0031038386774745763,-0.002355091457115939,0.0016610508529328082
Support_Interactions,0.0024316174751215615,-0.002852208706463696,0.002189999414442459,-0.005729509005859699,-0.0007883721040087883,-0.0057625072302659956,1.0,-0.0010448796337708976,-0.002400216924024375,-0.004150570534487118
Downtime_Minutes,0.0012716612831169764,0.0011256949047942688,-0.0017437069003283555,-0.0005736116673708317,-0.0051930770611665605,-0.0031038386774745763,-0.0010448796337708976,1.0,-0.0017907996107396512,-0.0003434688670601275
Bandwidth_Used_GB,0.002831496370117569,0.004113152312805972,0.008709642391986874,0.0034476549356601788,0.004275085682280304,-0.002355091457115939,-0.002400216924024375,-0.0017907996107396512,1.0,-0.0035457181549775813
Storage_Used_GB,0.001389878734662381,-0.005729006057060313,-0.004427633837832867,-0.004459037300178181,-0.0024357848881094383,0.0016610508529328082,-0.004150570534487118,-0.0003434688670601275,-0.0035457181549775813,1.0
