bin_start,bin_end,count
112692.0,2332582.529411765,35
2332582.529411765,4552473.05882353,2
4552473.05882353,6772363.588235294,3
6772363.588235294,8992254.11764706,4
8992254.11764706,11212144.647058824,1
11212144.647058824,13432035.176470589,0
13432035.176470589,15651925.705882354,0
15651925.705882354,17871816.23529412,0
17871816.23529412,20091706.76470588,1
20091706.76470588,22311597.29411765,0
22311597.29411765,24531487.823529415,1
24531487.823529415,26751378.352941178,0
26751378.352941178,28971268.88235294,0
28971268.88235294,31191159.411764707,0
31191159.411764707,33411049.941176474,0
33411049.941176474,35630940.47058824,0
35630940.47058824,37850831.0,0
37850831.0,40070721.52941176,0
40070721.52941176,42290612.05882353,1
42290612.05882353,44510502.5882353,0
44510502.5882353,46730393.11764706,0
46730393.11764706,48950283.64705883,0
48950283.64705883,51170174.17647059,0
51170174.17647059,53390064.705882356,0
53390064.705882356,55609955.23529412,0
55609955.23529412,57829845.76470588,0
57829845.76470588,60049736.29411765,0
60049736.29411765,62269626.823529415,0
62269626.823529415,64489517.35294118,0
64489517.35294118,66709407.88235295,0
66709407.88235295,68929298.41176471,0
68929298.41176471,71149188.94117647,1
71149188.94117647,73369079.47058824,0
73369079.47058824,75588970.0,1
