Customer_ID,Total_Purchased,Total_Activated,Total_Contract_Value,Avg_Contract_Value,Total_Licenses,Avg_Satisfaction,Total_Support_Tickets,High_Churn_Risk_Count
C00001,337,258,151301,75650.5,2,5.0,12,1
C00002,596,475,393844,131281.33,3,4.33,16,0
C00003,1008,833,462068,66009.71,7,2.86,39,3
C00004,528,399,213617,53404.25,4,6.5,24,2
C00005,890,736,665588,110931.33,6,5.67,27,4
C00006,763,639,462542,92508.4,5,4.2,24,1
C00007,1020,883,348648,58108.0,6,4.5,25,1
C00008,276,233,40848,40848.0,1,5.0,5,0
C00009,481,396,206231,41246.2,5,7.4,23,1
C00010,428,378,122303,40767.67,3,7.33,18,2
C00011,2492,2036,1386450,92430.0,15,4.87,46,4
C00012,97,69,27839,27839.0,1,2.0,7,0
C00013,1729,1482,987999,75999.92,13,5.38,46,4
C00014,1144,926,571602,81657.43,7,6.14,44,3
C00015,3056,2566,1453778,66080.82,22,5.14,116,9
C00016,2142,1798,1357841,96988.64,14,5.07,59,6
C00017,1424,1215,474204,59275.5,8,4.88,42,3
C00018,2354,2026,952564,63504.27,15,4.67,87,4
C00019,21,15,13839,13839.0,1,4.0,7,0
C00020,895,771,471221,94244.2,5,6.2,12,2
C00021,882,751,444720,74120.0,6,4.17,22,1
C00022,496,431,325442,81360.5,4,6.25,26,0
C00023,992,861,536476,67059.5,8,4.88,44,3
C00024,1247,997,613851,76731.38,8,5.12,27,5
C00025,1983,1692,1067882,88990.17,12,5.42,62,3
C00026,2034,1712,997721,76747.77,13,5.0,67,5
C00027,2495,2071,1319752,94268.0,14,5.71,58,6
C00028,803,655,480155,96031.0,5,4.8,33,2
C00029,1928,1635,975273,69662.36,14,5.86,82,3
C00030,2746,2240,1574442,92614.24,17,6.06,109,11
C00031,452,384,171689,42922.25,4,5.5,23,0
C00032,598,512,375780,62630.0,6,5.17,26,2
C00033,901,755,644165,92023.57,7,4.71,36,3
C00034,1328,1071,801532,80153.2,10,5.7,53,2
C00035,1269,1081,768958,96119.75,8,4.62,44,3
C00036,986,849,716421,102345.86,7,4.86,41,1
C00037,682,563,493098,98619.6,5,6.4,30,1
C00038,1773,1476,1248092,89149.43,14,4.5,69,7
C00039,2836,2432,1525000,84722.22,18,5.28,89,7
C00040,378,314,64540,21513.33,3,6.0,24,1
C00041,2565,2205,1379748,86234.25,16,5.12,92,4
C00042,1210,1075,870130,87013.0,10,5.2,33,5
