License_ID,Customer_ID,Vendor_ID,Product_ID,Number_of_quantities_purchased,Number_of_quantities_activated,Percentage_of_quantities_deployed,Days_since_last_quantity_purchased,Days_since_last_quantity_activated,Avg_gap_in_quantity_purchase,Avg_gap_in_quantity_activated,Direction_Trend_purchased_quantities,Direction_Trend_activated_quantities,Direction_Trend_deployed_quantities,Deployment_Type,Days_since_first_quantity_purchased,Days_since_first_activation,Avg_gap_Purchase_to_Activation,Frequency_of_Product_Purchase,Recency_of_product_purchase,Variants,Subscription_period_derived,Contract_Value,License_Start_Date,License_End_Date,Renewal_Status,Payment_Status,Support_Tickets,Satisfaction_Score,Churn_Risk,Usage_Frequency,Last_Login,Feature_Utilization,Integration_Count,Custom_Configuration,Training_Sessions,Upgrade_History,Downgrade_History,Relative_number_of_products_purchased_from_catalogue,Relative_purchases_qty,Relative_activation_qty,Relative_activation_percentage,Relative_Activated_Variant_percentage,Relative_variant_activation_quantity
,C00001,V0003,P00018,128.0,104.0,58.59375,1269.0,1239.0,149.0,155.0,Upward,Upward,Upward,Production,1716.0,1704.0,13.0,4.0,1269.0,"V2,V3,V2",90.0,100096.0,2020-04-20,2021-10-09,Active,Pending,6.0,4.0,High,Monthly,2021-12-20,27.0,2.0,False,1.0,1.0,1.0,0.7299270072992701,37.98219584569733,40.310077519379846,81.25,60.0,40.310077519379846
L000002,C00001,V0041,P00227,209.0,154.0,55.980861244019145,-504.0,-525.0,198.5,202.25,Downward,Downward,Downward,Production,290.0,284.0,11.4,5.0,-504.0,"V2,V1,V1",730.0,51205.0,2024-03-16,2026-06-18,Expired,Pending,6.0,6.0,Low,Daily,2024-12-31 00:00:00,93.0,1.0,False,2.0,3.0,1.0,0.7299270072992701,62.01780415430267,59.68992248062015,73.68421052631578,60.0,59.68992248062015
L000003,C00002,V0032,P00156,281.0,226.0,55.871886120996436,-731.0,-761.0,199.0,201.75,Downward,Downward,Downward,Development,65.0,46.0,20.2,5.0,-731.0,"V5,V5,V2,V3",365.0,200072.0,2024-10-27,2028-01-01,Active,Pending,3.0,7.0,Low,,2024-12-31 00:00:00,25.0,1.0,True,2.0,2.0,0.0,1.094890510948905,47.14765100671141,47.578947368421055,80.42704626334519,80.0,47.578947368421055
L000004,C00002,V0032,P00158,221.0,175.0,50.678733031674206,83.0,72.0,173.5,170.25,Downward,,Downward,Production,777.0,753.0,13.8,5.0,83.0,"V1,V2",90.0,187850.0,2022-11-15,2025-10-09,Expired,Overdue,9.0,2.0,Medium,Weekly,2024-11-22,66.0,5.0,True,3.0,3.0,1.0,1.094890510948905,37.080536912751676,36.84210526315789,79.18552036199095,40.0,36.84210526315789
L000005,C00002,V0032,P00157,94.0,74.0,64.8936170212766,1107.0,1087.0,230.5,,Upward,Upward,Upward,,1568.0,1541.0,23.0,3.0,1107.0,"V1,V2",365.0,5922.0,2020-09-15,2022-12-20,Expired,Pending,4.0,4.0,Medium,Weekly,2023-06-15,43.0,2.0,True,0.0,0.0,0.0,1.094890510948905,15.771812080536913,15.578947368421053,78.72340425531915,40.0,15.578947368421053
L000006,C00003,V0017,P00087,198.0,163.0,64.64646464646465,248.0,,250.0,246.0,Downward,Downward,Downward,Production,,1228.0,10.8,5.0,248.0,V2,365.0,15840.0,2021-08-01,2024-05-27,Expired,Paid,8.0,2.0,Medium,Weekly,2024-05-27,80.0,0.0,False,2.0,3.0,1.0,2.5547445255474455,19.642857142857142,19.56782713085234,82.32323232323232,20.0,19.56782713085234
L000007,C00003,V0017,P00090,,,72.22222222222221,43.0,24.0,296.5,297.0,Upward,Upward,Upward,Production,1229.0,1212.0,18.8,5.0,43.0,"V1,V2",,212544.0,2021-08-20,2025-11-18,Expired,Overdue,3.0,3.0,High,Monthly,2024-12-09,59.0,1.0,True,0.0,2.0,1.0,2.5547445255474455,28.57142857142857,28.091236494597837,81.25,40.0,28.091236494597837
L000008,C00003,V0036,P00200,108.0,92.0,54.629629629629626,1537.0,1528.0,279.0,272.0,Upward,Upward,Upward,Production,1816.0,1800.0,12.5,2.0,1537.0,V1,365.0,69120.0,2020-01-11,2022-10-16,Active,Paid,7.0,1.0,High,Weekly,2024-11-05,31.0,0.0,True,2.0,2.0,0.0,2.5547445255474455,10.714285714285714,11.044417767106843,85.18518518518519,20.0,
L000009,C00003,V0036,P00199,158.0,139.0,62.65822784810127,-392.0,-413.0,193.0,196.33333333333334,Upward,Upward,Upward,Production,187.0,176.0,10.75,4.0,-392.0,V4,365.0,16748.0,2024-06-27,2027-01-27,Expired,Pending,8.0,9.0,Low,Daily,2024-12-31 00:00:00,67.0,0.0,False,1.0,0.0,0.0,2.5547445255474455,15.674603174603174,16.686674669867948,87.9746835443038,20.0,16.686674669867948
L000010,C00003,V0036,P00194,1.0,0.0,0.0,774.0,754.0,,0.0,Flat,Flat,Flat,Production,774.0,754.0,20.0,1.0,774.0,V1,730.0,227.0,2022-11-18,2023-11-18,Active,Pending,5.0,2.0,High,Monthly,2024-10-28,80.0,4.0,False,2.0,0.0,0.0,2.5547445255474455,,,0.0,20.0,0.0
