Renewal_ID,License_ID,Customer_ID,Product_ID,Renewal_Date,Previous_Contract_Value,New_Contract_Value,Renewal_Type,Renewal_Duration,Discount_Applied,Renewal_Status,Negotiation_Days,Decision_Maker_Change,Competitive_Threat,Upsell_Opportunity,Cross_sell_Products
R000001,L000001,C00001,P00018,2020-07-19,100096,115110.4,Negotiated,730,8,Declined,7,False,False,False,0
R000002,L000001,C00001,P00018,2020-10-17,100096,94090.24,Automatic,730,6,Completed,14,True,False,False,3
R000003,L000002,C00001,P00227,2026-03-16,51205,58885.75,Manual,365,1,Pending,4,True,False,False,2
R000004,L000002,C00001,P00227,2028-03-15,51205,55301.4,Manual,730,21,Pending,15,True,False,True,2
R000005,L000002,C00001,P00227,2030-03-15,51205,46084.5,Negotiated,365,5,Pending,16,True,False,False,1
R000006,L000003,C00002,P00156,2025-10-27,200072,232083.52,Negotiated,1095,21,Completed,7,False,True,False,0
R000007,L000003,C00002,P00156,2026-10-27,200072,192069.12,Manual,365,7,Pending,1,False,False,True,2
R000008,L000004,C00002,P00158,2023-02-13,187850,157794.0,Automatic,730,21,Declined,14,False,False,True,3
R000009,L000005,C00002,P00157,2021-09-15,5922,6277.32,Automatic,365,12,Declined,30,True,False,False,2
R000010,L000005,C00002,P00157,2022-09-15,5922,4856.04,Automatic,1095,15,Declined,9,False,True,False,2
R000011,L000005,C00002,P00157,2023-09-15,5922,4796.82,Automatic,730,8,Completed,28,True,True,True,2
R000012,L000007,C00003,P00090,2022-08-20,212544,229547.52,Automatic,1095,0,Pending,10,False,False,True,2
R000013,L000007,C00003,P00090,2023-08-20,212544,193415.04,Manual,365,25,Declined,11,False,False,False,0
R000014,L000008,C00003,P00200,2021-01-10,69120,79488.0,Manual,730,16,Pending,6,True,False,False,1
R000015,L000008,C00003,P00200,2022-01-10,69120,61516.8,Negotiated,365,11,Declined,18,False,True,True,2
R000016,L000009,C00003,P00199,2025-06-27,16748,14738.24,Automatic,365,16,Completed,0,True,True,True,0
R000017,L000011,C00003,P00080,2022-07-20,84372,96184.08,Manual,1095,8,Pending,17,False,True,True,2
R000018,L000011,C00003,P00080,2023-07-20,84372,92809.2,Negotiated,730,17,Pending,3,True,True,True,3
R000019,L000012,C00003,P00081,2023-07-28,63217,73331.72,Automatic,730,24,Declined,14,True,True,True,3
R000020,L000013,C00004,P00050,2020-07-10,22302,18510.66,Automatic,365,3,Pending,28,True,True,False,3
R000021,L000013,C00004,P00050,2020-08-09,22302,26762.4,Negotiated,365,15,Completed,22,False,False,True,1
R000022,L000013,C00004,P00050,2020-09-08,22302,23640.12,Automatic,730,6,Declined,8,False,True,False,0
R000023,L000014,C00004,P00268,2022-03-18,75210,60168.0,Manual,730,16,Declined,3,True,False,False,0
R000024,L000014,C00004,P00268,2023-03-18,75210,62424.3,Automatic,730,4,Completed,21,False,True,False,3
R000025,L000014,C00004,P00268,2024-03-17,75210,89499.9,Manual,365,15,Declined,17,False,False,True,3
R000026,L000015,C00004,P00026,2022-04-13,78873,80450.46,Automatic,730,4,Pending,24,False,True,True,2
R000027,L000015,C00004,P00026,2023-04-13,78873,66253.32,Automatic,730,7,Pending,21,True,False,True,0
R000028,L000016,C00004,P00025,2023-01-17,37232,33136.48,Automatic,1095,24,Pending,19,True,True,True,2
R000029,L000016,C00004,P00025,2023-04-17,37232,41327.52,Negotiated,365,1,Completed,7,False,True,False,1
R000030,L000016,C00004,P00025,2023-07-16,37232,34998.08,Manual,365,0,Pending,19,True,True,True,2
R000031,L000017,C00005,P00081,2022-03-30,89489,93963.45,Manual,730,1,Pending,20,True,False,True,0
R000032,L000017,C00005,P00081,2023-03-30,89489,86804.33,Automatic,730,1,Declined,28,False,False,True,1
R000033,L000017,C00005,P00081,2024-03-29,89489,71591.2,Manual,365,20,Completed,20,False,False,True,0
R000034,L000018,C00005,P00080,2025-09-24,71574,85888.8,Manual,730,20,Declined,7,False,False,False,2
R000035,L000019,C00005,P00043,2024-06-20,183309,163145.01,Automatic,365,10,Declined,26,True,False,True,2
R000036,L000020,C00005,P00002,2022-05-10,184520,177139.2,Negotiated,730,2,Completed,3,True,True,False,1
R000037,L000021,C00005,P00001,2024-06-12,136218,129407.1,Manual,365,15,Declined,8,True,True,True,0
R000038,L000021,C00005,P00001,2024-07-12,136218,117147.48,Automatic,365,24,Completed,0,True,False,True,0
R000039,L000022,C00005,P00261,2021-07-06,478,391.96,Negotiated,1095,10,Completed,10,False,False,True,1
R000040,L000023,C00006,P00129,2024-07-26,133383,109374.06,Automatic,1095,25,Declined,5,False,True,False,2
R000041,L000024,C00006,P00130,2025-02-03,249676,249676.0,Negotiated,365,21,Pending,23,True,True,True,0
R000042,L000025,C00006,P00058,2025-01-16,20944,21781.76,Automatic,365,8,Declined,4,True,False,True,0
R000043,L000025,C00006,P00058,2027-01-16,20944,17802.4,Manual,1095,4,Pending,24,True,False,False,3
R000044,L000026,C00006,P00059,2022-10-14,24867,24120.99,Manual,365,15,Pending,15,False,True,False,1
R000045,L000026,C00006,P00059,2022-11-13,24867,25115.67,Negotiated,365,8,Declined,30,False,False,True,1
R000046,L000027,C00006,P00057,2026-04-09,33672,34345.44,Negotiated,730,8,Pending,18,False,True,False,1
R000047,L000027,C00006,P00057,2028-04-08,33672,31314.96,Automatic,1095,16,Declined,0,True,True,False,2
R000048,L000027,C00006,P00057,2030-04-08,33672,36702.48,Negotiated,365,8,Completed,13,False,False,True,0
R000049,L000028,C00007,P00232,2023-02-17,93927,84534.3,Manual,730,21,Declined,22,False,False,False,3
R000050,L000028,C00007,P00232,2025-02-16,93927,100501.89,Negotiated,365,16,Pending,21,False,False,False,3
R000051,L000028,C00007,P00232,2027-02-16,93927,99562.62,Manual,1095,16,Completed,2,True,True,False,3
R000052,L000029,C00007,P00230,2021-07-07,77033,75492.34,Manual,730,13,Declined,1,True,False,True,1
R000053,L000032,C00007,P00039,2025-06-16,9690,9011.7,Manual,1095,21,Declined,0,False,True,True,2
R000054,L000032,C00007,P00039,2026-06-16,9690,9980.7,Manual,365,9,Completed,9,True,False,True,3
R000055,L000032,C00007,P00039,2027-06-16,9690,8817.9,Negotiated,1095,23,Pending,19,True,True,False,1
R000056,L000033,C00007,P00040,2025-08-28,26496,25171.2,Negotiated,730,24,Pending,23,True,True,False,3
R000057,L000033,C00007,P00040,2026-08-28,26496,24376.32,Automatic,730,10,Completed,14,True,True,False,1
R000058,L000033,C00007,P00040,2027-08-28,26496,23846.4,Negotiated,730,6,Declined,24,False,False,False,1
R000059,L000034,C00008,P00144,2022-03-03,40848,42481.92,Negotiated,1095,25,Declined,14,False,False,False,3
R000060,L000034,C00008,P00144,2023-03-03,40848,37171.68,Manual,730,12,Pending,0,False,True,False,2
R000061,L000034,C00008,P00144,2024-03-02,40848,35537.76,Automatic,1095,9,Declined,12,False,False,True,1
R000062,L000035,C00009,P00182,2021-12-27,3068,3037.32,Automatic,365,5,Completed,28,False,False,False,2
R000063,L000035,C00009,P00182,2022-03-27,3068,3374.8,Automatic,1095,1,Completed,29,False,False,True,0
R000064,L000036,C00009,P00190,2024-08-03,1015,1146.95,Manual,365,14,Declined,25,False,True,False,0
R000065,L000037,C00009,P00266,2020-06-04,25916,25656.84,Negotiated,730,7,Declined,7,True,False,True,2
R000066,L000037,C00009,P00266,2020-09-02,25916,25916.0,Automatic,365,18,Completed,13,True,True,True,1
R000067,L000037,C00009,P00266,2020-12-01,25916,28248.44,Manual,730,23,Pending,4,False,True,False,3
R000068,L000040,C00010,P00087,2024-12-07,23520,25166.4,Manual,1095,6,Declined,3,True,True,True,2
R000069,L000041,C00010,P00090,2024-05-27,18450,21217.5,Manual,365,14,Pending,7,False,True,False,1
R000070,L000046,C00011,P00113,2024-01-04,46620,38228.4,Manual,1095,25,Declined,11,True,True,True,3
R000071,L000046,C00011,P00113,2024-04-03,46620,50349.6,Automatic,730,24,Pending,17,True,True,False,3
R000072,L000046,C00011,P00113,2024-07-02,46620,55011.6,Manual,730,10,Pending,3,True,True,False,3
R000073,L000047,C00011,P00141,2022-11-07,68904,70971.12,Negotiated,1095,6,Completed,25,False,False,True,1
R000074,L000047,C00011,P00141,2023-02-05,68904,65458.8,Automatic,365,15,Pending,2,True,False,True,1
R000075,L000047,C00011,P00141,2023-05-06,68904,77172.48,Negotiated,365,21,Completed,9,True,False,False,0
R000076,L000048,C00011,P00140,2023-01-12,67650,70356.0,Automatic,365,0,Declined,15,False,False,True,1
R000077,L000048,C00011,P00140,2025-01-11,67650,72385.5,Manual,1095,4,Pending,10,False,False,True,3
R000078,L000048,C00011,P00140,2027-01-11,67650,77797.5,Manual,365,16,Pending,18,False,False,False,2
R000079,L000049,C00011,P00139,2023-09-19,41760,33408.0,Automatic,1095,22,Declined,10,False,True,True,1
R000080,L000049,C00011,P00139,2024-09-18,41760,36748.8,Negotiated,730,6,Declined,21,False,True,True,3
R000081,L000049,C00011,P00139,2025-09-18,41760,43848.0,Negotiated,730,3,Completed,2,False,True,True,1
R000082,L000050,C00011,P00251,2024-04-25,141252,134189.4,Automatic,1095,18,Declined,3,True,True,True,3
R000083,L000051,C00011,P00252,2021-12-18,279456,321374.4,Negotiated,365,14,Pending,28,False,False,True,2
R000084,L000052,C00011,P00232,2025-07-05,143400,166344.0,Manual,365,5,Pending,11,True,False,True,1
R000085,L000052,C00011,P00232,2027-07-05,143400,121890.0,Manual,365,11,Declined,5,False,True,True,2
R000086,L000052,C00011,P00232,2029-07-04,143400,170646.0,Manual,1095,17,Declined,25,True,True,True,2
R000087,L000053,C00011,P00173,2024-01-12,70334,69630.66,Manual,1095,7,Declined,24,True,True,False,2
R000088,L000054,C00011,P00171,2024-11-02,306365,321683.25,Negotiated,1095,3,Pending,23,False,True,True,3
R000089,L000054,C00011,P00171,2025-01-31,306365,337001.5,Manual,1095,22,Pending,6,False,True,True,0
R000090,L000055,C00011,P00274,2023-09-14,106572,94849.08,Automatic,1095,3,Pending,30,False,False,True,2
R000091,L000056,C00011,P00272,2021-05-03,5130,4206.6,Negotiated,730,20,Pending,16,True,True,True,1
R000092,L000056,C00011,P00272,2021-08-01,5130,5745.6,Negotiated,1095,2,Pending,19,False,True,True,1
R000093,L000057,C00011,P00076,2022-01-15,3069,3406.59,Manual,1095,22,Pending,10,True,True,False,3
R000094,L000057,C00011,P00076,2023-01-15,3069,2547.27,Manual,1095,6,Pending,15,False,False,True,0
R000095,L000058,C00012,P00085,2025-09-22,27839,29230.95,Automatic,730,25,Declined,21,False,False,False,0
R000096,L000058,C00012,P00085,2026-09-22,27839,25333.49,Negotiated,730,19,Declined,13,False,True,False,3
R000097,L000058,C00012,P00085,2027-09-22,27839,25611.88,Manual,1095,8,Pending,18,True,True,False,2
R000098,L000060,C00013,P00079,2022-08-27,14017,14858.02,Manual,365,19,Declined,1,True,False,False,3
R000099,L000060,C00013,P00079,2022-09-26,14017,12895.64,Automatic,1095,1,Completed,23,False,True,False,1
R000100,L000060,C00013,P00079,2022-10-26,14017,14437.51,Negotiated,1095,9,Completed,13,False,True,True,3
R000101,L000061,C00013,P00097,2021-08-19,51200,52736.0,Manual,730,8,Completed,21,False,True,False,0
R000102,L000061,C00013,P00097,2022-08-19,51200,49664.0,Manual,1095,10,Completed,25,True,True,True,2
R000103,L000062,C00013,P00096,2022-06-23,46656,40590.72,Manual,365,13,Declined,7,True,True,True,0
R000104,L000062,C00013,P00096,2023-06-23,46656,42923.52,Negotiated,1095,14,Completed,0,False,False,False,3
R000105,L000063,C00013,P00120,2025-07-29,31108,35774.2,Automatic,730,6,Declined,5,True,True,False,1
R000106,L000064,C00013,P00121,2021-07-08,34808,38288.8,Manual,730,1,Completed,16,True,True,False,0
R000107,L000065,C00013,P00186,2021-05-03,271188,298306.8,Automatic,730,3,Completed,26,True,True,False,2
R000108,L000065,C00013,P00186,2022-05-03,271188,241357.32,Negotiated,365,7,Completed,27,True,False,False,0
R000109,L000065,C00013,P00186,2023-05-03,271188,276611.76,Automatic,730,16,Completed,14,False,True,True,3
R000110,L000066,C00013,P00188,2026-07-19,35380,31488.2,Negotiated,1095,7,Pending,23,False,True,True,2
R000111,L000067,C00013,P00065,2022-02-24,177984,167304.96,Manual,730,25,Pending,26,True,False,False,3
R000112,L000067,C00013,P00065,2023-02-24,177984,176204.16,Manual,730,14,Pending,11,True,True,True,3
R000113,L000067,C00013,P00065,2024-02-24,177984,213580.8,Automatic,1095,16,Pending,7,False,False,True,2
R000114,L000068,C00013,P00069,2021-03-27,42560,41708.8,Negotiated,365,24,Pending,28,True,True,False,3
R000115,L000070,C00013,P00031,2022-12-09,104652,87907.68,Negotiated,730,5,Pending,25,True,False,False,1
R000116,L000070,C00013,P00031,2023-01-08,104652,100465.92,Manual,365,21,Declined,30,False,True,True,2
R000117,L000070,C00013,P00031,2023-02-07,104652,99419.4,Negotiated,730,8,Pending,14,False,False,False,2
R000118,L000071,C00013,P00033,2026-11-30,16020,16340.4,Automatic,1095,10,Pending,7,True,False,True,3
R000119,L000071,C00013,P00033,2028-11-29,16020,17782.2,Negotiated,730,15,Completed,8,True,True,True,3
R000120,L000071,C00013,P00033,2030-11-29,16020,16500.6,Automatic,730,18,Completed,20,False,False,True,2
