Vendor_ID,Vendor_Name,Industry,Founded_Year,Headquarters,Country,Company_Size,Employee_Count,Annual_Revenue,Total_Products,Total_Customers,Market_Focus,Support_Model,Deployment_Model,Certification,Total_Revenue,Average_Contract_Value,Total_Licenses
V0001,Lopez Group,Enterprise Solutions,1994,Sullivanton,Togo,small,21,428439,2,52,B2B,24/7,Hybrid,SOC2,8984280,116678.96103896105,77
V0002,Strong-Lopez,Technology,1998,Delgadoview,Benin,large,2683,40431104,14,51,B2B,24/7,Cloud,None,7609901,78452.58762886598,97
V0003,"Williams, Burke and Barrera",Software,2017,Jonathanside,United States Virgin Islands,medium,220,2481442,5,41,B2C,24/7,Hybrid,None,5476946,76068.69444444444,72
V0004,Cooper-Donovan,Technology,2013,New Molly,Macao,small,33,619965,2,42,B2C,24/7,Cloud,None,8471742,132370.96875,64
V0005,"Lynch, Ramirez and Ward",Technology,2011,Port Shelly,British Indian Ocean Territory (Chagos Archipelago),small,37,950033,5,40,B2B2C,Business Hours,Hybrid,HIPAA,7031028,84711.18072289157,83
V0006,Taylor Ltd,Enterprise Solutions,1991,Michaelaton,Mongolia,small,13,742366,2,35,B2B,Community,Hybrid,None,3635031,64911.267857142855,56
V0007,Roberts LLC,Cloud Services,2012,Lake Sarah,Northern Mariana Islands,small,8,956014,4,43,B2B,Business Hours,Hybrid,SOC2,6927860,78725.68181818182,88
V0008,Martin Inc,Software,1998,New Mark,New Zealand,medium,59,6983410,10,39,B2C,Business Hours,Cloud,GDPR,4413144,58841.92,75
V0009,Oconnor Inc,Cloud Services,2016,Port Wayneside,Liechtenstein,medium,278,6375692,5,36,B2B2C,Community,Hybrid,ISO27001,4308322,53189.16049382716,81
V0010,Gilbert-Day,Cloud Services,2004,Tammyville,Saint Kitts and Nevis,medium,314,3634383,7,43,B2B2C,Business Hours,Cloud,ISO27001,7383243,92290.5375,80
V0011,"Chavez, Kim and Hernandez",Enterprise Solutions,1998,Tinafort,Mali,small,48,164963,3,51,B2C,Business Hours,Hybrid,GDPR,9751641,94676.12621359223,103
V0012,"Thompson, Gallegos and Tran",Software,2008,Carolinefurt,United Kingdom,large,2705,18136319,12,32,B2B2C,Business Hours,On-Premise,SOC2,7031744,106541.57575757576,66
V0013,Bartlett Ltd,Software,1991,Huntertown,Algeria,medium,404,7605150,6,35,B2C,Community,On-Premise,GDPR,4561707,72408.04761904762,63
V0014,Lewis-Nguyen,Technology,2001,Kimberlymouth,Pitcairn Islands,small,44,831424,2,49,B2B2C,Business Hours,Cloud,None,2581796,36363.32394366197,71
V0015,"Mendez, Allen and Smith",Cloud Services,2005,Gonzalesstad,Greenland,small,50,607003,2,38,B2B,24/7,On-Premise,ISO27001,6195763,105012.93220338984,59
V0016,Garcia Inc,Enterprise Solutions,2017,North Jenniferfurt,Holy See (Vatican City State),small,30,543265,5,34,B2B2C,Community,Cloud,None,6925405,94868.56164383562,73
V0017,Brown-Reese,Enterprise Solutions,1999,South Jeffrey,Svalbard & Jan Mayen Islands,small,24,660184,4,44,B2B2C,24/7,On-Premise,SOC2,6361272,71474.96629213484,89
V0018,"Pearson, Harrell and Cummings",Software,2002,Singhport,Spain,small,40,918758,5,50,B2C,Business Hours,Cloud,ISO27001,3913252,39527.79797979798,99
V0019,Irwin-White,Cloud Services,2020,Thompsonburgh,Vietnam,small,25,174564,2,44,B2B2C,Business Hours,Cloud,GDPR,4214710,71435.7627118644,59
V0020,Rubio Group,Enterprise Solutions,1994,East Jonathonmouth,Turkmenistan,small,29,907301,4,41,B2C,Business Hours,Cloud,None,7151224,77730.69565217392,92
V0021,Flores LLC,Enterprise Solutions,1991,Ellistown,Bulgaria,medium,428,6508136,8,39,B2B,Business Hours,On-Premise,HIPAA,7099692,88746.15,80
V0022,"Callahan, Monroe and Carson",Technology,1996,Sandersport,Australia,small,11,112692,5,31,B2B2C,Business Hours,Hybrid,SOC2,5636889,80526.9857142857,70
V0023,"Murray, Ortiz and Thompson",Software,1999,New Kristenside,Cuba,small,7,808574,4,40,B2C,Business Hours,Cloud,GDPR,6608347,81584.53086419753,81
